Year,Month,Day,Hours,Minute,Second,WeekDay,Timestamp,JourneyPatternID,VehicleJourneyID,StopID,Temperature (C),Visibility (km),Wind Speed (km/h),Cumulative Time Taken
2012,11,6,8,59,2,1,1352192342,10001,5461,226,7,10,29.6,0
2012,11,6,9,4,41,1,1352192681,10001,5461,231,8,10,31.5,339
2012,11,6,9,6,22,1,1352192782,10001,5461,1641,8,10,31.5,440
2012,11,6,9,7,58,1,1352192878,10001,5461,1642,8,10,31.5,536
2012,11,6,9,15,42,1,1352193342,10001,5461,47,8,10,31.5,1000
2012,11,6,9,18,1,1,1352193481,10001,5461,49,7,10,27.8,1139
2012,11,6,9,19,42,1,1352193582,10001,5461,51,7,10,27.8,1240
2012,11,6,9,22,21,1,1352193741,10001,5461,265,7,10,27.8,1399
2012,11,6,9,24,43,1,1352193883,10001,5461,271,7,10,27.8,1541
2012,11,6,9,29,2,1,1352194142,10001,5461,340,7,10,27.8,1800
2012,11,6,9,30,44,1,1352194244,10001,5461,350,7,10,27.8,1902
2012,11,6,9,33,41,1,1352194421,10001,5461,352,7,10,27.8,2079
2012,11,6,9,34,22,1,1352194462,10001,5461,353,7,10,27.8,2120
2012,11,6,9,35,3,1,1352194503,10001,5461,354,7,10,27.8,2161
2012,11,6,9,36,25,1,1352194585,10001,5461,355,7,10,27.8,2243
2012,11,6,9,50,0,1,1352195400,10001,5461,380,7,10,27.8,3058
2012,11,6,9,21,8,1,1352193668,10001,5494,226,7,10,27.8,0
2012,11,6,9,23,25,1,1352193805,10001,5494,227,7,10,27.8,137
2012,11,6,9,24,27,1,1352193867,10001,5494,230,7,10,27.8,199
2012,11,6,9,26,46,1,1352194006,10001,5494,231,7,10,27.8,338
2012,11,6,9,27,46,1,1352194066,10001,5494,1641,7,10,27.8,398
2012,11,6,9,28,45,1,1352194125,10001,5494,1642,7,10,27.8,457
2012,11,6,9,30,46,1,1352194246,10001,5494,213,7,10,27.8,578
2012,11,6,9,33,45,1,1352194425,10001,5494,119,7,10,27.8,757
2012,11,6,9,35,5,1,1352194505,10001,5494,44,7,10,27.8,837
2012,11,6,9,38,28,1,1352194708,10001,5494,47,7,10,27.8,1040
2012,11,6,9,39,26,1,1352194766,10001,5494,48,7,10,27.8,1098
2012,11,6,9,43,49,1,1352195029,10001,5494,51,7,10,27.8,1361
2012,11,6,9,44,26,1,1352195066,10001,5494,52,7,10,27.8,1398
2012,11,6,9,46,6,1,1352195166,10001,5494,265,7,10,27.8,1498
2012,11,6,9,49,7,1,1352195347,10001,5494,271,7,10,27.8,1679
2012,11,6,9,53,48,1,1352195628,10001,5494,340,7,10,27.8,1960
2012,11,6,9,55,26,1,1352195726,10001,5494,350,7,10,27.8,2058
2012,11,6,9,58,27,1,1352195907,10001,5494,352,7,10,27.8,2239
2012,11,6,10,0,7,1,1352196007,10001,5494,353,8,10,33.3,2339
2012,11,6,10,1,46,1,1352196106,10001,5494,354,8,10,33.3,2438
2012,11,6,10,4,5,1,1352196245,10001,5494,356,8,10,33.3,2577
2012,11,6,10,5,25,1,1352196325,10001,5494,357,8,10,33.3,2657
2012,11,6,10,8,47,1,1352196527,10001,5494,374,8,10,33.3,2859
2012,11,6,10,15,31,1,1352196931,10001,5494,380,8,10,33.3,3263
2012,11,6,9,41,5,1,1352194865,10001,5512,229,7,10,27.8,0
2012,11,6,9,42,45,1,1352194965,10001,5512,230,7,10,27.8,100
2012,11,6,9,44,24,1,1352195064,10001,5512,231,7,10,27.8,199
2012,11,6,9,45,46,1,1352195146,10001,5512,1641,7,10,27.8,281
2012,11,6,9,46,45,1,1352195205,10001,5512,1642,7,10,27.8,340
2012,11,6,9,48,44,1,1352195324,10001,5512,213,7,10,27.8,459
2012,11,6,9,50,25,1,1352195425,10001,5512,4432,7,10,27.8,560
2012,11,6,9,51,45,1,1352195505,10001,5512,119,7,10,27.8,640
2012,11,6,9,54,4,1,1352195644,10001,5512,45,7,10,27.8,779
2012,11,6,9,56,44,1,1352195804,10001,5512,47,7,10,27.8,939
2012,11,6,9,57,46,1,1352195866,10001,5512,48,7,10,27.8,1001
2012,11,6,9,59,24,1,1352195964,10001,5512,49,7,10,27.8,1099
2012,11,6,10,1,5,1,1352196065,10001,5512,50,8,10,33.3,1200
2012,11,6,10,1,44,1,1352196104,10001,5512,51,8,10,33.3,1239
2012,11,6,10,5,25,1,1352196325,10001,5512,265,8,10,33.3,1460
2012,11,6,10,8,26,1,1352196506,10001,5512,271,8,10,33.3,1641
2012,11,6,10,11,7,1,1352196667,10001,5512,340,8,10,33.3,1802
