Year,Month,Day,Hours,Minute,Second,WeekDay,Timestamp,JourneyPatternID,VehicleJourneyID,StopID,Temperature (C),Visibility (km),Wind Speed (km/h),Cumulative Time Taken,StopSeq
2012,11,6,8,59,2,1,1352192342,10001,5461,226,7,10,29.6,0,0
2012,11,6,9,4,41,1,1352192681,10001,5461,231,8,10,31.5,339,5
2012,11,6,9,6,22,1,1352192782,10001,5461,1641,8,10,31.5,440,6
2012,11,6,9,7,58,1,1352192878,10001,5461,1642,8,10,31.5,536,7
2012,11,6,9,15,42,1,1352193342,10001,5461,47,8,10,31.5,1000,15
2012,11,6,9,18,1,1,1352193481,10001,5461,49,7,10,27.8,1139,17
2012,11,6,9,19,42,1,1352193582,10001,5461,51,7,10,27.8,1240,19
2012,11,6,9,22,21,1,1352193741,10001,5461,265,7,10,27.8,1399,21
2012,11,6,9,24,43,1,1352193883,10001,5461,271,7,10,27.8,1541,22
2012,11,6,9,29,2,1,1352194142,10001,5461,340,7,10,27.8,1800,23
2012,11,6,9,30,44,1,1352194244,10001,5461,350,7,10,27.8,1902,24
2012,11,6,9,33,41,1,1352194421,10001,5461,352,7,10,27.8,2079,26
2012,11,6,9,34,22,1,1352194462,10001,5461,353,7,10,27.8,2120,27
2012,11,6,9,35,3,1,1352194503,10001,5461,354,7,10,27.8,2161,28
2012,11,6,9,36,25,1,1352194585,10001,5461,355,7,10,27.8,2243,29
2012,11,6,9,50,0,1,1352195400,10001,5461,380,7,10,27.8,3058,41
2012,11,6,9,21,8,1,1352193668,10001,5494,226,7,10,27.8,0,0
2012,11,6,9,23,25,1,1352193805,10001,5494,227,7,10,27.8,137,3
2012,11,6,9,24,27,1,1352193867,10001,5494,230,7,10,27.8,199,4
2012,11,6,9,26,46,1,1352194006,10001,5494,231,7,10,27.8,338,5
2012,11,6,9,27,46,1,1352194066,10001,5494,1641,7,10,27.8,398,6
2012,11,6,9,28,45,1,1352194125,10001,5494,1642,7,10,27.8,457,7
2012,11,6,9,30,46,1,1352194246,10001,5494,213,7,10,27.8,578,8
2012,11,6,9,33,45,1,1352194425,10001,5494,119,7,10,27.8,757,11
2012,11,6,9,35,5,1,1352194505,10001,5494,44,7,10,27.8,837,12
2012,11,6,9,38,28,1,1352194708,10001,5494,47,7,10,27.8,1040,15
